id,created_date,modified_date,is_deleted,mark,name,user_id,car_detail_id,image_id,car_brand_id,car_model_id,pinned,order
3462725,2023-02-15 11:27:33.423432+00,2023-02-15 11:27:33.423559+00,f,Chevrolet,Lacetti,1909054,2881677,14590922,12,119,f,1
3304866,2023-02-06 02:11:03.8699+00,2023-02-06 02:11:03.869957+00,f,Chevrolet,Lacetti,1778813,2881677,13901282,12,119,f,1
3304359,2023-02-05 19:08:05.013886+00,2023-02-05 19:08:05.013923+00,f,Chevrolet,Matiz Best,1285290,2881320,,12,126,f,2
2166417,2022-11-12 05:55:41.67152+00,2022-11-12 05:55:41.671557+00,f,Chevrolet,Spark,1153138,1883844,,12,133,f,2
1915268,2022-10-25 02:15:27.017924+00,2022-11-04 14:00:58.722681+00,t,Chevrolet,Spark,1153138,1883844,,12,133,f,1
3690054,2023-03-06 13:56:26.450878+00,2023-03-06 13:56:26.450937+00,f,Chevrolet,Cobalt,2005671,2881246,,12,111,f,1
3305166,2023-02-06 03:20:06.005598+00,2023-02-06 03:20:06.005638+00,f,Chevrolet,Lacetti,474063,2881873,,12,119,f,1
3304332,2023-02-05 19:03:52.88045+00,2023-02-05 19:03:52.880487+00,f,Chevrolet,Gentra,1859208,2881303,13900361,12,120,f,1
3573874,2023-02-24 14:36:24.671376+00,2023-02-24 14:36:24.671436+00,f,Chevrolet,Nexia 2,1953731,2881301,,12,128,f,1
3304327,2023-02-05 19:03:24.207427+00,2023-02-05 19:03:24.207474+00,f,Chevrolet,Nexia 2,1859120,2881301,13900358,12,128,f,1
3304537,2023-02-05 20:07:07.3967+00,2023-02-05 20:07:07.396729+00,f,Chevrolet,Cobalt,1567574,2881452,,12,111,f,1
3304412,2023-02-05 19:23:55.421252+00,2023-02-05 19:23:55.421282+00,f,Ravon,Gentra,1859253,2881355,,58,377,f,1
3304440,2023-02-05 19:31:23.849723+00,2023-02-05 19:31:23.849757+00,f,Daewoo,Damas,1859263,2881375,,16,154,f,1
461528,2022-01-06 04:23:02.108139+00,2022-02-08 14:46:22.193755+00,t,Chevrolet,Cobalt,197330,730992,,12,111,f,1
3304301,2023-02-05 18:57:33.219649+00,2023-02-05 18:57:33.219702+00,f,Chevrolet,spark,1859200,2881287,13900331,12,,f,1
3304975,2023-02-06 02:44:04.377836+00,2023-02-06 02:44:04.377897+00,f,Chevrolet,Gentra,1859544,2881747,,12,120,f,1
3305032,2023-02-06 02:55:36.321963+00,2023-02-06 02:55:36.322008+00,f,Chevrolet,Malibu 2,1857441,2881779,,12,124,f,1
3304772,2023-02-06 01:02:37.901854+00,2023-02-06 01:02:37.90188+00,f,Chevrolet,Spark,1858878,2881619,13901152,12,133,f,1
3304747,2023-02-06 00:33:23.660948+00,2023-02-06 00:33:23.66098+00,f,Chevrolet,Spark,77477,2881601,,12,133,f,3
3304708,2023-02-05 22:54:36.661732+00,2023-02-05 22:54:36.661753+00,f,Chevrolet,Gentra,356219,2881563,,12,120,f,2
3304736,2023-02-06 00:14:20.45369+00,2023-02-06 00:14:20.45371+00,f,Chevrolet,Cobalt,1859417,2881596,13901131,12,111,f,1
3304310,2023-02-05 18:59:22.073774+00,2023-02-05 18:59:22.073816+00,f,Chevrolet,Cobalt,1457877,2881290,13900478,12,111,f,1
3304749,2023-02-06 00:34:33.34408+00,2023-02-06 00:34:33.34411+00,f,Chevrolet,Cobalt,194891,2881603,,12,111,f,1
3303922,2023-02-05 17:44:19.289195+00,2023-02-05 17:44:19.289237+00,f,Chevrolet,Nexia 2,1859013,2881021,,12,128,f,1
3304132,2023-02-05 18:23:51.38816+00,2023-02-05 18:23:51.388196+00,f,Chevrolet,Damas,1759831,2881162,,12,114,f,1
3399112,2023-02-10 09:36:32.21386+00,2023-02-10 09:36:32.213908+00,f,Chevrolet,Damas,525083,2881162,,12,114,f,1
3305180,2023-02-06 03:22:27.7587+00,2023-02-06 03:22:27.758752+00,f,Chevrolet,Nexia 3,198079,2881885,13901676,12,129,f,1
3936248,2023-03-28 08:40:44.498053+00,2023-03-28 08:40:44.498116+00,f,Chevrolet,Gentra,2113801,2881387,18423469,12,120,f,1
3304461,2023-02-05 19:37:01.708976+00,2023-02-08 03:18:15.152546+00,t,Chevrolet,Gentra,201572,2881387,,12,120,f,1
3308945,2023-02-06 09:26:35.042699+00,2023-03-15 11:07:32.116021+00,t,Chevrolet,Damas,179774,2881864,,12,114,f,1
3305147,2023-02-06 03:18:52.087689+00,2023-02-06 03:18:52.087755+00,f,Chevrolet,Damas,1859619,2881864,,12,114,f,3
3304239,2023-02-05 18:44:08.054887+00,2023-02-05 18:44:08.054947+00,f,Daewoo,Tico,1858710,2881245,,16,173,f,1
3305188,2023-02-06 03:24:04.4291+00,2023-02-06 03:24:04.429143+00,f,Chevrolet,Gentra,971678,2881891,,12,120,f,3
3421475,2023-02-12 07:02:03.384952+00,2023-02-12 07:02:03.38501+00,f,Chevrolet,Lacetti,751685,2881891,16293064,12,119,f,1
3303961,2023-02-05 17:51:11.194733+00,2023-02-05 17:51:11.194786+00,f,ВАЗ (Lada),2107,1859039,2881046,15380857,80,486,f,2
3304201,2023-02-05 18:36:09.562371+00,2023-02-05 18:36:09.562417+00,f,Chevrolet,Captiva,1859157,2881219,,12,108,f,1
3897246,2023-03-25 06:59:52.766447+00,2023-03-25 06:59:52.766477+00,f,Chevrolet,Gentra,1416408,2881185,,12,120,f,2
3489613,2023-02-17 14:50:13.075483+00,2023-02-18 09:49:12.517515+00,t,Chevrolet,Gentra,1416408,2881185,,12,120,f,1
3490921,2023-02-17 16:27:39.339024+00,2023-02-17 16:27:39.339072+00,f,Chevrolet,Gentra,992861,2881185,,12,120,f,1
3304161,2023-02-05 18:29:23.523025+00,2023-02-15 06:01:15.530308+00,t,Chevrolet,Gentra,1416408,2881185,,12,120,f,1
3420152,2023-02-12 05:18:24.864002+00,2023-02-12 05:18:24.864071+00,f,Chevrolet,Nexia 3,1829912,2881185,,12,129,f,1
3305143,2023-02-06 03:18:06.473032+00,2023-02-06 03:18:06.473083+00,f,Daewoo,Nexia,1853664,2881859,,16,167,f,1
3755249,2023-03-12 09:39:58.78957+00,2023-03-12 09:39:58.789614+00,f,Chevrolet,Cobalt,1126022,2881353,,12,111,f,1
3305134,2023-02-06 03:16:03.966861+00,2023-02-06 03:16:03.966918+00,f,Chevrolet,Gentra,99590,2881851,,12,120,f,1
3304514,2023-02-05 19:55:47.934318+00,2023-02-05 19:55:47.934367+00,f,Daewoo,Nexia,1859248,2881429,,16,167,f,6
3304495,2023-02-05 19:48:42.848703+00,2023-02-05 19:48:42.848739+00,f,Chevrolet,Gentra,1859127,2881414,,12,120,f,1
3304533,2023-02-05 20:05:42.486937+00,2023-02-05 20:05:42.48697+00,f,Daewoo,Nexia II,409995,2881448,,16,168,f,2
3304193,2023-02-05 18:34:19.030349+00,2023-02-05 18:34:19.030416+00,f,Chevrolet,Nexia 3,1457877,2881212,,12,129,f,2
3305299,2023-02-06 03:40:09.14626+00,2023-02-12 05:21:51.253327+00,t,Chevrolet,Matiz,296246,2881994,,12,125,f,1
3304692,2023-02-05 22:33:05.094802+00,2023-02-05 22:33:05.094822+00,f,Chevrolet,Lacetti,1859387,2881550,13901049,12,119,f,1
3304519,2023-02-05 19:58:34.002273+00,2023-02-05 19:58:34.002315+00,f,Chevrolet,Cobalt,33805,2881433,,12,111,f,1
3304417,2023-02-05 19:25:25.873934+00,2023-02-05 19:25:25.873962+00,f,ВАЗ (Lada),Самара 2 (седан 2115),1854584,2881357,13900620,80,492,f,1
3303989,2023-02-05 17:56:10.793377+00,2023-02-05 17:56:10.793438+00,f,Chevrolet,Spark,1859045,2881057,,12,133,f,1
3304466,2023-02-05 19:38:45.61476+00,2023-02-05 19:38:45.614787+00,f,Chevrolet,Lacetti,488899,2881391,,12,119,f,1
3304057,2023-02-05 18:08:49.945622+00,2023-02-05 18:08:49.945664+00,f,Chevrolet,Spark,39007,2881105,,12,133,f,1
3950646,2023-03-29 09:17:41.12409+00,2023-04-03 10:07:19.097959+00,t,Chevrolet,Cobalt,1859483,2881670,,12,111,f,1
3880515,2023-03-23 17:45:49.801033+00,2023-03-29 10:48:07.97173+00,t,Chevrolet,Cobalt,830528,2881670,,12,111,f,2
3304861,2023-02-06 02:07:46.04365+00,2023-03-21 01:04:08.965242+00,t,Chevrolet,Cobalt,1859483,2881670,,12,111,f,1
3304696,2023-02-05 22:36:56.065472+00,2023-02-05 22:36:56.065491+00,f,СМЗ,С3Д,744089,2881556,,90,569,f,4
3671097,2023-03-04 23:30:50.619304+00,2023-03-04 23:30:50.619344+00,f,Chevrolet,Spark,1622988,2881132,,12,133,f,1
3304536,2023-02-05 20:07:02.523319+00,2023-02-05 20:07:02.523363+00,f,Chevrolet,Spark,1784125,2881451,13900736,12,133,f,5
3304002,2023-02-05 17:59:07.721381+00,2023-02-08 07:26:17.677185+00,t,Chevrolet,Nexia 3,1064084,2881065,,12,129,f,1
3480552,2023-02-17 03:44:23.016827+00,2023-02-17 03:44:23.016873+00,f,Chevrolet,Spark,1412747,2881739,,12,133,f,1
