id,created_date,modified_date,is_deleted,mark,name,user_id,car_detail_id,image_id,car_brand_id,car_model_id,pinned,order
556742,2022-02-04 21:42:20.772089+00,2022-02-04 21:42:20.772106+00,f,Chevrolet,Damas,383858,824485,,12,114,f,1
556743,2022-02-04 21:47:22.902104+00,2022-02-04 21:47:22.90213+00,f,Chevrolet,Lacetti,383853,823975,800467,12,119,f,1
1908714,2022-10-24 14:08:40.70669+00,2022-10-24 14:08:41.427434+00,t,Chevrolet,Nexia 3,1127056,1879301,,12,129,f,1
3542052,2023-02-22 02:14:59.825139+00,2023-02-22 02:14:59.825198+00,f,Chevrolet,Cobalt,990528,3027442,,12,111,f,1
556745,2022-02-04 21:49:32.434716+00,2022-02-04 21:49:32.434733+00,f,Chevrolet,Nexia 3,196627,806920,800470,12,129,f,1
556777,2022-02-05 00:34:51.000024+00,2022-02-05 00:34:51.000042+00,f,Chevrolet,Nexia 2,383889,824514,,12,128,f,1
556747,2022-02-04 22:00:24.421459+00,2022-02-04 22:00:24.421485+00,f,Chevrolet,Nexia 3,110936,590633,,12,129,f,1
556748,2022-02-04 22:02:28.070044+00,2022-02-04 22:02:28.070062+00,f,Chevrolet,Gentra,318590,824491,800474,12,120,f,1
556749,2022-02-04 22:03:04.183821+00,2022-02-04 22:03:04.183839+00,f,Chevrolet,Lacetti,383842,824492,,12,119,f,1
556750,2022-02-04 22:07:00.306564+00,2022-02-04 22:07:00.306581+00,f,Chevrolet,Damas,383866,824494,,12,114,f,1
556751,2022-02-04 22:07:38.038696+00,2022-02-04 22:07:38.038723+00,f,Chevrolet,Lacetti,166581,490699,800478,12,119,f,1
556794,2022-02-05 01:33:34.299614+00,2022-04-04 13:02:52.86182+00,t,Chevrolet,Gentra,383902,824527,,12,120,f,1
556753,2022-02-04 22:10:33.537817+00,2022-02-04 22:10:33.537835+00,f,Chevrolet,Nexia 3,383867,805663,,12,129,f,1
556808,2022-02-05 02:08:31.933875+00,2022-04-07 15:16:53.750838+00,t,Chevrolet,Nexia 3,8251,824541,800527,12,129,f,1
556757,2022-02-04 22:26:12.869422+00,2022-02-04 22:26:12.869441+00,f,Isuzu,NQR,383873,824499,,35,,f,1
556756,2022-02-04 22:25:19.123425+00,2022-02-04 22:26:40.315491+00,t,Daewoo,Nexia,369636,824498,,16,167,f,1
89925,2021-08-19 11:57:58.402808+00,2021-08-19 11:57:58.402827+00,f,Chevrolet,Spark,53436,107187,,,,f,1
556809,2022-02-05 02:09:49.001551+00,2022-04-21 02:41:31.711046+00,t,Chevrolet,Cobalt,192960,824542,,12,111,f,1
556801,2022-02-05 01:48:53.974302+00,2022-02-05 01:48:53.97432+00,f,Chevrolet,Cobalt,377830,824534,1506403,12,111,f,1
556761,2022-02-04 22:47:52.896347+00,2022-02-04 22:47:52.896365+00,f,Chevrolet,Nexia 2,368134,801319,800489,12,128,f,1
556755,2022-02-04 22:21:11.238781+00,2022-11-24 17:22:52.749955+00,t,Chevrolet,Lacetti,260535,824497,800483,12,119,f,1
556813,2022-02-05 02:14:13.579759+00,2022-02-05 02:14:13.579778+00,f,Chevrolet,Spark,383913,824547,1073231,12,133,t,1
